"","name","longitude","latitude","prov","date","year","time_frame"
"1","Zanthoxylum americanum Mill.",-76.325237,45.435773,"gbif",2019-01-12,2019,"T2"
"2","Zanthoxylum americanum Mill.",-80.984729,43.251334,"gbif",2019-01-16,2019,"T2"
"3","Zanthoxylum americanum Mill.",-75.351828,45.51898,"gbif",2019-01-03,2019,"T2"
"4","Zanthoxylum americanum Mill.",-89.474397,40.850188,"gbif",2019-01-18,2019,"T2"
"5","Zanthoxylum americanum Mill.",-79.929444,43.290825,"gbif",2019-01-05,2019,"T2"
"6","Zanthoxylum americanum Mill.",-81.194381,43.071864,"gbif",2019-02-18,2019,"T2"
"7","Zanthoxylum americanum Mill.",-76.530402,44.287706,"gbif",2019-02-02,2019,"T2"
"8","Zanthoxylum americanum Mill.",-81.184411,43.074284,"gbif",2019-02-21,2019,"T2"
"9","Zanthoxylum americanum Mill.",-75.171948,45.039487,"gbif",2019-02-26,2019,"T2"
"10","Zanthoxylum americanum Mill.",-76.651896,44.174921,"gbif",2019-02-02,2019,"T2"
"11","Zanthoxylum americanum Mill.",-87.123947,32.316867,"gbif",2019-02-26,2019,"T2"
"12","Zanthoxylum americanum Mill.",-76.903572,42.716237,"gbif",2019-02-11,2019,"T2"
"13","Zanthoxylum americanum Mill.",-87.123762,32.316823,"gbif",2019-02-26,2019,"T2"
"14","Zanthoxylum americanum Mill.",-87.7909,42.007067,"gbif",2019-02-03,2019,"T2"
"15","Zanthoxylum americanum Mill.",-87.77841,42.001333,"gbif",2019-02-03,2019,"T2"
"16","Zanthoxylum americanum Mill.",-88.221416,41.408938,"gbif",2019-02-05,2019,"T2"
"17","Zanthoxylum americanum Mill.",-80.342406,43.377557,"gbif",2019-03-28,2019,"T2"
"18","Zanthoxylum americanum Mill.",-85.944011,32.212084,"gbif",2019-03-21,2019,"T2"
"19","Zanthoxylum americanum Mill.",-77.936042,42.701122,"gbif",2019-03-10,2019,"T2"
"20","Zanthoxylum americanum Mill.",-80.427094,43.381119,"gbif",2019-03-17,2019,"T2"
"21","Zanthoxylum americanum Mill.",-80.422367,43.380208,"gbif",2019-03-17,2019,"T2"
"22","Zanthoxylum americanum Mill.",-92.755044,45.014904,"gbif",2019-03-27,2019,"T2"
"23","Zanthoxylum americanum Mill.",-80.445335,43.386323,"gbif",2019-03-01,2019,"T2"
"24","Zanthoxylum americanum Mill.",-80.418072,43.368442,"gbif",2019-03-17,2019,"T2"
"25","Zanthoxylum americanum Mill.",-81.854561,42.519494,"gbif",2019-03-18,2019,"T2"
"26","Zanthoxylum americanum Mill.",-82.830536,42.034964,"gbif",2019-04-10,2019,"T2"
"27","Zanthoxylum americanum Mill.",-87.781147,42.003127,"gbif",2018-01-14,2018,"T2"
"28","Zanthoxylum americanum Mill.",-89.49457,40.681459,"gbif",2018-01-28,2018,"T2"
"29","Zanthoxylum americanum Mill.",-75.055903,45.194423,"gbif",2018-02-18,2018,"T2"
"30","Zanthoxylum americanum Mill.",-83.753457,42.305474,"gbif",2018-02-06,2018,"T2"
"31","Zanthoxylum americanum Mill.",-75.052401,45.198638,"gbif",2018-02-18,2018,"T2"
"32","Zanthoxylum americanum Mill.",-75.062429,45.191205,"gbif",2018-02-18,2018,"T2"
"33","Zanthoxylum americanum Mill.",-84.111071,42.186061,"gbif",2018-02-27,2018,"T2"
"34","Zanthoxylum americanum Mill.",-75.060678,45.181114,"gbif",2018-02-18,2018,"T2"
"35","Zanthoxylum americanum Mill.",-76.250341,45.268689,"gbif",2018-03-04,2018,"T2"
"36","Zanthoxylum americanum Mill.",-85.356051,42.776448,"gbif",2018-03-03,2018,"T2"
"37","Zanthoxylum americanum Mill.",-76.248673,45.267973,"gbif",2018-03-04,2018,"T2"
"38","Zanthoxylum americanum Mill.",-75.942334,45.33963,"gbif",2018-03-04,2018,"T2"
"39","Zanthoxylum americanum Mill.",-87.778124,42.063298,"gbif",2018-04-29,2018,"T2"
"40","Zanthoxylum americanum Mill.",-87.826099,41.881188,"gbif",2018-04-29,2018,"T2"
"41","Zanthoxylum americanum Mill.",-76.31755,44.829045,"gbif",2018-04-29,2018,"T2"
"42","Zanthoxylum americanum Mill.",-83.74968,42.301647,"gbif",2018-04-30,2018,"T2"
"43","Zanthoxylum americanum Mill.",-93.451676,44.954814,"gbif",2018-04-29,2018,"T2"
"44","Zanthoxylum americanum Mill.",-76.220945,45.489429,"gbif",2018-04-28,2018,"T2"
"45","Zanthoxylum americanum Mill.",-87.774151,42.065027,"gbif",2018-04-29,2018,"T2"
"46","Zanthoxylum americanum Mill.",-93.69624,44.6669,"gbif",2018-04-29,2018,"T2"
"47","Zanthoxylum americanum Mill.",-87.71134,42.059,"gbif",2018-04-17,2018,"T2"
"48","Zanthoxylum americanum Mill.",-78.285542,44.346645,"gbif",2018-04-05,2018,"T2"
"49","Zanthoxylum americanum Mill.",-87.775464,42.06499,"gbif",2018-04-29,2018,"T2"
"50","Zanthoxylum americanum Mill.",-74.84736,45.157467,"gbif",2018-04-08,2018,"T2"
